# Strong | Persian | English | Croatian | selected reference suggestions (must be corpus-verified before display)
G979|زندگی طبیعی|Natural life|Zemaljski život|1 John 2:16; Mark 12:44; Luke 8:14
H5397|نفس حیات|Breath of life|Dah života|Genesis 2:7; Job 32:8; Proverbs 20:27
G4103|امین / وفادار|Faithful|Vjeran|1 Corinthians 1:9; 2 Timothy 2:13; Revelation 19:11
G5550|زمان / مدت|Time / duration|Vrijeme / trajanje|Galatians 4:4; Acts 1:7; Hebrews 5:12
G2540|زمان مناسب / فرصت|Time / opportunity|Vrijeme / prilika|Mark 1:15; 2 Corinthians 6:2; Ephesians 5:16
G3568|اکنون|Now|Sada|2 Corinthians 6:2; Romans 8:1; John 4:23
G4594|امروز|Today|Danas|Hebrews 3:7; Luke 4:21; Luke 23:43
G1656|رحمت|Mercy|Milosrđe|Ephesians 2:4; Matthew 9:13; Titus 3:5
G5368|دوست داشتن|To love / be fond of|Voljeti / biti privržen|John 21:15-17; John 11:3; Revelation 3:19
G225|حقیقت|Truth|Istina|John 14:6; John 8:32; John 4:24
G1391|جلال|Glory|Slava|John 1:14; 2 Corinthians 3:18; Romans 3:23
G3900|لغزش / تخلف|Trespass / fall|Prijestup / pad|Ephesians 2:1; Romans 5:15; Galatians 6:1
G458|بی‌قانونی|Lawlessness|Bezakonje|Matthew 7:23; 1 John 3:4; 2 Thessalonians 2:7
G1994|بازگشتن|To turn back|Obratiti se|Acts 3:19; 1 Peter 2:25; James 5:19-20
G342|نو شدن|Renewal|Obnova|Romans 12:2; Titus 3:5
G2537|نو / تازه|New / fresh|Nov / svjež|2 Corinthians 5:17; Revelation 21:5; Ephesians 4:24
G3501|جدید / جوان|New / young|Nov / mlad|Colossians 3:10; Luke 5:39; Hebrews 12:24
G3339|دگرگون شدن|To be transformed|Preobraziti se|Romans 12:2; 2 Corinthians 3:18; Matthew 17:2
G1097|شناختن / دانستن|To know / recognize|Znati / poznavati|John 17:3; Philippians 3:10; 1 John 2:3
G1492|دانستن|To know|Znati|John 8:55; Romans 8:28; 1 John 5:20
